id,treat,takeup,outcome
244,0,1,1.3505514
245,0,0,.8919336
246,0,1,1.1285909
247,0,0,-.79336614
248,0,0,-.40139762
249,0,0,-.29076473
250,0,1,1.2443145
251,1,0,.64954009
252,1,0,.3971261
253,1,0,-.2910563
254,1,1,1.1149989
255,1,1,1.7478331
256,1,0,.03842834
257,1,0,.03920353
258,1,0,.02052255
259,1,0,-.74189393
260,1,0,-.04704562
261,1,1,1.9632241
262,1,0,.1695484
263,1,0,.39395937
264,1,0,1.0265943
265,1,1,1.2679611
266,1,0,-.85950795
267,1,0,.46182661
268,1,1,1.0106306
269,1,0,.4611964
270,1,0,.19934789
271,1,0,-1.2229314
272,1,1,1.6171304
273,1,0,-.39564255
274,1,0,-.34394087
275,1,0,.0865245
276,1,0,-.06783808
277,1,0,-.40828352
278,1,0,.45027256
279,1,1,1.3324633
280,1,0,-.54065112
281,1,0,-.29267415
282,1,0,.51459786
283,1,0,-.61468534
284,1,0,-.56720942
285,1,0,-.16116711
286,1,0,-.02021571
287,1,0,.11998301
288,1,0,-1.2291187
289,1,0,-.74735042
290,1,0,-.36497
291,1,0,.70955987
292,1,0,.06337703
293,1,0,-.06074296
294,1,0,-.97503843
295,1,0,.0106024
296,1,0,.57524912
297,1,0,1.0855185
298,1,0,.38582774
299,1,0,-.46618506
300,1,1,.36387999
301,1,0,.22945832
302,1,0,-.38465728
303,1,0,-.42149694
304,1,0,.05320106
305,1,0,-.38398875
306,1,0,-.10166928
307,1,0,.60667396
308,1,0,-.28812744
309,1,0,.77597566
310,1,0,-.31701758
311,1,1,.86173917
312,1,0,.21090485
313,1,0,-.17200142
314,1,0,-.50426663
315,1,1,1.3729028
316,1,0,.30945242
317,1,0,-1.0082784
318,1,0,1.4226095
319,1,0,.5267327
320,1,0,.27544479
321,1,0,-.27376694
322,1,0,.35127896
323,1,0,-.66200406
324,1,1,1.8370274
325,1,0,-.66939003
326,1,0,-.11085746
327,1,0,-.04889962
328,1,0,-.12332191
329,1,0,-.49990746
330,1,0,-.08717114
331,1,0,-.07292087
332,1,1,.70196024
333,1,1,2.2643045
334,1,0,-.13207162
335,1,0,.23866997
336,1,0,-.17029458
337,1,0,.20474194
338,1,0,.03722852
339,1,0,-.97071121
340,1,0,-.59951581
341,1,0,-.82168847
342,1,0,-.04811427
343,1,0,.44734104
344,1,0,.60645326
345,1,0,-.49013938
346,1,0,.02698537
347,1,0,-.22284284
348,1,0,.79570532
349,1,0,-.63641374
350,1,0,.21324413
351,1,1,1.9524843
352,1,0,.0099172
353,1,0,-.18484426
354,1,0,-.48369259
355,1,1,.78899155
356,1,0,.10354658
357,1,0,-.38627861
358,1,0,.88963316
359,1,1,1.1973872
360,1,0,-.44182142
361,1,0,-.50048083
362,1,0,.40892794
363,1,1,1.0637483
364,1,0,-.70500188
365,1,1,1.791174
366,1,1,1.3722789
367,1,0,.41094732
368,1,0,-.12916574
369,1,0,-.0624707
370,1,0,-.58446584
371,1,0,-.33921618
372,1,0,1.3741589
373,1,0,.54757396
374,1,0,-.42414469
375,1,0,-.00565652
376,1,0,1.1452302
377,1,0,.14288039
378,1,0,-.46250407
379,1,0,-1.4463652
380,1,0,.1092898
381,1,0,-.24124451
382,1,0,.07030544
383,1,0,.04676591
384,1,0,.01877382
385,1,0,.19350766
386,1,0,.04128709
387,1,0,-.62372992
388,1,0,-.45357074
389,1,0,.12759171
390,1,1,1.5973004
391,1,0,.16088045
392,1,0,-.89732326
393,1,0,-.62672626
394,1,0,-.38590089
395,1,0,.85869699
396,1,1,2.0221832
397,1,1,1.6554799
398,1,0,-.08395868
399,1,0,.25860703
400,1,0,-.18528442
401,1,0,-1.4256743
402,1,0,.94046214
403,1,0,-.60578943
404,1,0,.18007757
405,1,0,.01583316
406,1,0,-.734495
407,1,0,.44097253
408,1,0,.27537414
409,1,1,1.0720949
410,1,0,.27436085
411,1,0,.17144917
412,1,0,-.02324673
413,1,0,-.73317899
414,1,0,.03850496
415,1,0,-.61305119
416,1,0,-.42531946
417,1,0,.2042763
418,1,0,.21994453
419,1,0,-1.2114517
420,1,0,.74097714
421,1,0,-.05776615
422,1,0,-.38295809
423,1,1,.4541895
424,1,0,.12502668
425,1,0,.61830671
426,1,0,.17697179
427,1,0,.41879484
428,1,0,-.22696583
429,1,0,-.11874222
430,1,0,-.04022897
431,1,0,.70197846
432,1,1,1.2673933
433,1,1,1.0546784
434,1,0,-.17880513
435,1,0,-.19690139
436,1,0,.14577187
437,1,0,-.12249081
438,1,0,-.26634284
439,1,1,2.2398129
440,1,1,2.1659684
441,1,1,1.7617109
442,1,0,.70543899
443,1,0,-.20727439
444,1,0,-.42164408
445,1,0,.30750116
446,1,0,.55052601
447,1,0,.15816171
448,1,0,.05131432
449,1,0,.41170688
450,1,0,-.58662013
451,1,1,1.2154255
452,1,0,.32382095
453,1,0,.46659625
454,1,0,.52058565
455,1,0,.11745161
456,1,0,.19414826
457,1,0,.11163482
458,1,0,.90562064
459,1,0,.02522325
460,1,0,.91316103
461,1,0,-.08942713
462,1,0,.46400036
463,1,0,-.05986377
464,1,0,-.95374003
465,1,0,-.49067596
466,1,0,-.35277868
467,1,0,.30543028
468,1,0,-.35671324
469,1,0,.45778031
470,1,0,.55790518
471,1,0,-1.1984581
472,1,0,1.1966301
473,1,0,.35084387
474,1,0,.33722407
475,1,1,1.2108861
476,1,0,-1.4025542
477,1,0,.20220176
478,1,0,-.28011417
479,1,0,-.17754322
480,1,0,-1.1686729
481,1,0,-.04782346
482,1,0,.50938568
483,1,0,.33103777
484,1,0,-.18780984
485,1,0,-.70699802
486,1,1,1.1479429
487,1,0,.29898039
488,1,0,-.38042683
489,1,0,-.21292036
490,1,0,-.36527105
491,1,0,-.20740179
492,1,0,.46672967
493,1,0,-.46999658
494,1,0,-.17212123
495,1,1,2.2615279
496,1,0,.69493737
497,1,1,1.7291593
498,1,0,-.81196096
499,1,0,.34850895
500,1,0,-1.373748
