personid,age,female,nprior,treatment,npurchase,total
95,32,1,3,50,1,57.75683212
96,29,0,2,0,1,52.70846176
97,31,0,0,50,1,63.97712326
98,21,1,0,50,4,222.844368
99,36,0,1,50,2,119.5176506
100,24,1,2,15,0,0
101,31,0,2,50,0,0
102,20,1,1,50,0,0
103,31,0,1,50,2,114.0685844
104,36,1,2,0,1,57.62644196
105,43,1,2,30,2,127.2940979
106,29,0,2,15,1,61.07551956
107,42,1,3,0,0,0
108,29,1,1,15,2,132.9696655
109,33,0,0,30,4,271.9536514
110,29,0,1,30,0,0
111,36,1,2,30,1,63.19973373
112,28,0,3,30,1,53.68041229
113,28,0,1,0,1,63.60424423
114,31,0,0,15,0,0
115,31,1,3,15,0,0
116,36,1,4,0,0,0
117,32,1,0,0,1,64.402771
118,27,0,2,30,0,0
119,28,1,2,30,0,0
120,25,1,3,0,0,0
121,29,0,2,30,4,213.1597023
122,38,1,1,0,3,193.377964
123,33,0,1,0,0,0
124,34,1,0,50,2,113.9095612
125,33,1,1,15,1,50.09355545
126,36,1,1,50,1,68.19689941
127,33,1,1,15,1,63.61156082
128,36,0,2,50,0,0
129,32,1,0,50,3,161.5121002
130,33,1,6,15,4,264.6972275
131,18,0,4,50,5,308.5031738
132,37,0,2,50,0,0
133,32,1,0,15,0,0
134,31,0,0,30,2,114.5403137
135,37,0,0,50,1,58.68217087
136,40,1,0,50,1,60.29117966
137,37,1,1,30,1,51.58404541
138,32,1,1,50,1,64.63860321
139,28,0,2,15,0,0
140,35,0,1,15,0,0
141,33,1,1,50,4,243.4471397
142,38,0,0,15,0,0
143,39,0,3,50,3,194.521759
144,32,0,1,30,0,0
145,33,1,1,50,3,186.1814575
146,46,1,2,30,0,0
147,27,1,3,50,0,0
148,28,1,3,15,0,0
149,32,0,3,0,1,57.73023605
150,37,1,0,15,1,60.26082993
151,33,1,0,15,0,0
152,39,1,3,50,0,0
153,30,0,1,0,1,63.88101196
154,32,0,1,15,2,122.696106
155,25,0,2,30,0,0
156,25,0,1,50,1,59.84246445
157,26,1,2,0,1,67.88269806
158,36,0,3,0,0,0
159,32,0,1,30,2,126.7143402
160,41,1,0,30,3,170.7416039
161,22,0,2,30,1,70.00265503
162,38,0,0,15,0,0
163,40,1,1,15,3,193.5378418
164,33,0,0,15,0,0
165,35,0,1,0,0,0
166,33,0,0,0,0,0
167,46,1,0,15,0,0
168,26,0,0,0,1,66.01520538
169,43,1,0,0,0,0
170,27,0,1,50,1,61.08583832
171,35,0,3,0,0,0
172,41,1,2,0,0,0
173,36,1,1,15,0,0
174,36,0,1,15,0,0
175,32,1,3,0,0,0
176,35,1,0,15,3,175.3549385
177,31,0,3,15,2,126.4217987
178,31,1,3,0,0,0
179,34,0,1,30,1,53.31872559
180,35,1,1,50,2,122.1346016
181,38,0,0,0,1,69.0358429
182,36,1,0,30,0,0
183,29,0,0,50,0,0
184,41,0,2,30,0,0
185,37,0,2,30,2,125.9995575
186,35,1,1,15,1,56.98500443
187,27,0,0,30,7,464.7985153
188,33,0,0,30,3,195.4053879
189,41,1,0,0,0,0
190,34,0,4,50,0,0
191,37,0,1,50,1,63.19973373
192,30,0,4,30,0,0
193,33,1,3,15,1,64.02207947
194,22,0,1,15,0,0
195,26,1,2,30,0,0
196,28,0,2,30,0,0
197,28,1,1,30,0,0
198,38,1,1,15,1,59.65428925
199,28,0,4,0,0,0
200,32,1,1,30,0,0
201,35,1,1,15,1,69.06432343
202,35,1,1,0,0,0
203,30,0,3,0,1,50.28046417
204,31,1,2,30,1,65.47119904
205,36,0,1,15,0,0
206,30,0,2,30,1,60.92074585
207,23,0,1,15,0,0
208,23,0,2,50,2,102.0574799
209,29,1,0,30,1,61.57741165
210,27,1,2,30,2,136.1322174
211,32,0,1,50,2,131.4571991
212,37,1,1,50,0,0
213,24,1,2,30,2,108.9318924
214,30,1,3,15,0,0
215,37,0,1,50,2,137.5833969
216,28,0,1,30,0,0
217,35,0,0,0,0,0
218,32,0,2,50,1,60.26082993
219,44,1,2,15,0,0
220,37,0,2,30,5,289.4575424
221,38,0,2,15,0,0
222,29,0,2,0,0,0
223,31,1,1,15,0,0
224,28,1,2,0,3,196.4331818
225,30,0,1,30,2,124.2591858
226,42,0,0,15,0,0
227,36,0,0,15,0,0
228,26,1,0,15,2,134.7568665
229,27,1,0,50,0,0
230,22,1,1,15,1,63.19973373
231,40,1,0,50,1,62.67878723
232,37,1,1,15,0,0
233,35,0,2,0,1,55.75043106
234,37,1,1,0,2,136.3937988
235,36,1,5,0,0,0
236,41,1,0,0,0,0
237,30,0,1,0,1,52.32733154
238,29,1,1,0,1,68.52663422
239,29,0,1,30,0,0
240,33,1,1,0,0,0
241,41,0,1,50,0,0
242,18,0,1,30,1,51.82559586
243,34,1,2,50,4,267.1033554
244,27,0,2,0,0,0
245,32,0,1,15,0,0
246,49,1,1,0,2,102.776123
247,32,1,1,50,2,135.6725616
248,35,0,0,0,2,138.9634552
249,31,0,0,30,0,0
250,36,1,1,50,6,349.472229
251,37,1,0,0,3,186.5296974
252,34,0,1,50,3,208.1581421
253,36,0,0,30,3,187.3617096
254,33,0,2,0,0,0
255,24,1,0,0,1,67.11172485
256,31,0,0,30,0,0
257,32,1,2,30,0,0
258,30,1,1,0,2,121.6034012
259,32,1,0,30,0,0
260,25,0,3,0,3,206.9651566
261,33,1,3,30,1,54.03371429
262,36,0,3,0,0,0
263,33,0,0,50,1,56.50981522
264,31,1,1,15,0,0
265,38,0,0,15,3,197.185791
266,23,1,1,15,0,0
267,28,0,0,30,2,118.1600838
268,45,1,2,30,1,65.31349182
269,41,1,1,50,3,177.4889069
270,29,0,0,15,0,0
271,36,1,3,50,3,185.4966927
272,38,1,0,30,0,0
273,26,0,2,0,3,200.0776978
274,32,1,2,15,1,69.50073242
275,38,0,1,30,2,135.3236694
276,37,0,0,50,2,113.4653664
277,36,1,3,0,0,0
278,44,1,1,50,1,58.08071136
279,31,0,1,0,0,0
280,37,0,0,0,0,0
281,37,1,0,50,3,184.6238556
282,40,1,0,15,0,0
283,37,0,1,0,0,0
284,35,0,1,15,0,0
285,37,0,5,50,0,0
286,31,0,3,15,0,0
287,39,0,1,50,1,60.92074585
288,41,0,1,15,2,127.7620239
289,39,0,0,0,0,0
290,36,1,3,15,0,0
291,32,0,0,0,0,0
292,37,1,0,15,2,116.4847145
293,34,1,2,0,0,0
294,30,0,0,15,0,0
295,40,1,1,15,4,252.3962402
296,40,0,3,30,4,255.6990051
297,28,0,1,30,3,161.1761551
298,30,1,3,30,0,0
299,30,0,2,30,0,0
300,39,0,3,0,2,134.7232208
301,40,1,2,15,2,106.4962006
302,35,0,0,15,0,0
303,31,0,1,30,1,55.49602509
304,33,0,0,0,0,0
305,35,0,1,50,4,249.0921631
306,26,1,1,30,1,51.02873993
307,33,1,1,0,0,0
308,34,1,1,30,1,59.96234131
309,32,1,2,0,0,0
310,26,1,1,30,1,58.80631638
311,39,1,0,50,2,106.2672958
312,38,0,1,50,4,241.3291473
313,24,1,0,15,0,0
314,32,0,4,0,0,0
315,39,1,0,0,4,259.689064
316,23,0,0,50,2,128.805542
317,45,0,2,30,2,118.671814
318,37,1,1,0,0,0
319,26,0,3,30,0,0
320,25,0,2,50,1,58.44794846
321,36,1,2,50,1,61.86861038
322,44,0,3,50,2,125.7763824
323,32,0,0,30,1,53.31872559
324,32,0,1,50,0,0
325,34,1,0,15,0,0
326,24,1,3,30,1,59.14937973
327,34,1,2,0,0,0
328,36,1,1,15,0,0
329,35,1,1,50,1,59.65428925
330,31,1,0,50,0,0
331,28,0,3,50,0,0
332,34,1,0,30,1,66.95143127
333,35,0,1,0,0,0
334,30,0,0,15,0,0
335,41,1,2,15,1,66.48483276
336,31,0,1,50,2,112.0006561
337,34,0,2,0,0,0
338,35,0,1,50,0,0
339,33,0,1,15,1,65.02071381
340,32,1,1,0,0,0
341,30,0,0,30,0,0
342,32,0,1,30,1,57.36653519
343,34,1,2,30,1,54.06032181
344,41,1,0,30,1,63.97712326
345,38,0,3,0,1,62.76834106
346,34,0,1,15,0,0
347,40,1,1,50,2,110.9920502
348,37,1,1,0,2,117.0478516
349,31,0,1,30,0,0
350,34,1,2,30,8,457.5868225
351,28,1,2,15,0,0
352,30,1,0,15,2,130.9423981
353,31,1,1,30,3,184.6238556
354,34,0,2,50,1,64.02207947
355,35,0,1,15,2,130.3755798
356,40,1,0,15,3,190.8196945
357,38,0,2,30,0,0
358,37,1,1,50,1,69.0358429
359,23,0,2,0,0,0
360,30,1,2,30,3,203.0684738
361,32,1,1,50,2,108.3954773
362,36,0,2,30,2,127.3398094
363,42,0,0,0,1,60.39693451
364,47,0,3,50,0,0
365,31,0,1,30,2,114.7506943
366,36,0,1,0,1,55.39971161
367,36,1,1,15,0,0
368,35,1,2,50,0,0
369,43,0,2,0,0,0
370,43,1,1,50,0,0
371,31,0,0,15,0,0
372,36,0,1,30,1,62.24783707
373,30,1,2,30,0,0
374,35,0,1,0,1,52.70846176
375,34,1,0,15,0,0
376,32,0,1,0,0,0
377,30,1,0,30,0,0
378,33,1,0,50,1,62.99977875
379,35,1,0,30,1,65.72859955
380,37,0,1,0,0,0
381,33,1,3,0,1,65.02071381
382,32,1,0,50,4,238.5126686
383,35,1,1,0,0,0
384,34,0,0,0,1,60.50235367
385,33,1,0,0,0,0
386,27,0,4,0,0,0
387,30,1,2,15,2,133.9028625
388,45,0,2,30,1,50.42223358
389,30,0,0,30,0,0
390,34,0,2,0,0,0
391,36,0,0,50,2,133.8051453
392,27,1,2,15,0,0
393,46,1,5,50,0,0
394,34,1,0,0,0,0
395,20,0,3,0,0,0
396,38,0,1,30,1,68.48602295
397,38,0,1,0,0,0
398,36,0,1,0,1,55.78879166
399,40,0,1,50,2,105.4169235
400,29,1,0,15,0,0
401,32,1,3,15,0,0
402,34,0,0,0,0,0
403,29,0,1,0,3,182.378418
404,31,0,2,50,0,0
405,34,1,3,15,1,70.00265503
406,34,0,1,50,0,0
407,33,1,3,30,0,0
408,31,0,2,30,0,0
409,30,1,2,0,1,61.57741165
410,27,1,4,0,0,0
411,27,0,2,50,2,137.3733368
412,31,0,1,15,0,0
413,33,0,0,0,0,0
414,33,0,0,15,3,197.4465942
415,30,1,1,30,0,0
416,34,0,0,30,1,65.81552887
417,31,1,1,30,0,0
418,31,1,1,50,3,193.3266602
419,32,1,1,15,3,194.3767014
420,32,1,0,0,0,0
421,40,1,1,50,0,0
422,25,1,0,50,2,133.2118225
423,28,0,0,50,3,208.7683105
424,28,0,1,30,0,0
425,34,0,0,30,3,202.1352997
426,33,0,2,30,0,0
427,40,1,2,0,1,66.01520538
428,37,1,2,30,3,155.7240906
429,40,0,1,15,2,120.7632103
430,31,1,1,15,3,193.4454384
431,27,1,4,15,1,50.28046417
432,33,0,0,0,1,68.2495575
433,33,0,0,0,1,58.08071136
434,28,0,1,50,2,137.0532684
435,33,1,2,50,2,118.671814
436,27,1,0,0,0,0
437,32,0,3,50,6,332.0394058
438,30,0,1,15,0,0
439,44,1,1,30,3,192.8742294
440,37,1,1,15,0,0
441,29,0,0,0,2,117.789463
442,27,0,2,50,0,0
443,25,1,1,0,0,0
444,35,0,3,50,2,116.1857262
445,37,1,2,50,0,0
446,38,0,1,15,6,392.9884644
447,24,0,0,30,0,0
448,38,0,2,15,0,0
449,35,1,2,30,2,124.5473976
450,28,0,0,0,3,199.4809036
451,36,1,0,50,1,54.12796783
452,28,1,3,0,1,64.49337006
453,33,0,1,15,1,64.33527374
454,38,1,1,0,0,0
455,32,0,1,30,0,0
456,34,0,1,0,0,0
457,29,0,1,15,0,0
458,25,0,3,30,1,58.40400314
459,33,1,1,30,3,185.2442093
460,33,1,0,15,2,108.5376358
461,24,0,2,15,2,115.6964607
462,30,0,3,0,2,126.6375656
463,31,0,2,50,2,101.7386703
464,19,1,1,15,0,0
465,39,1,2,50,4,268.6823387
466,29,0,0,50,2,129.0252228
467,33,1,0,50,0,0
468,32,1,2,0,1,62.88819122
469,35,1,4,50,0,0
470,30,1,1,0,0,0
471,32,0,2,0,0,0
472,34,0,0,15,0,0
473,33,0,0,30,2,135.839035
474,38,0,0,15,0,0
475,36,1,1,30,0,0
476,37,1,1,50,1,52.70846176
477,36,1,2,0,1,68.19689941
478,28,1,0,15,0,0
479,45,0,4,50,0,0
480,32,1,3,30,1,66.01520538
481,32,0,1,30,0,0
482,30,0,1,15,0,0
483,33,0,1,30,0,0
484,30,0,1,0,0,0
485,32,1,1,50,0,0
486,39,1,3,15,4,250.0196877
487,36,1,2,50,0,0
488,37,0,2,50,1,53.67937469
489,34,1,2,0,2,117.7756081
490,37,1,1,30,3,196.0920601
491,35,0,0,30,2,112.5806808
492,26,0,2,15,1,51.58404541
493,37,1,0,0,0,0
494,33,1,0,0,1,67.88269806
495,28,1,1,30,3,191.6430359
496,39,0,1,0,2,131.8548584
497,30,0,0,15,0,0
498,42,1,0,50,0,0
499,37,0,2,0,0,0
500,26,1,0,50,1,62.88819122
501,29,0,2,15,0,0
502,36,1,1,0,0,0
503,36,0,0,50,0,0
504,30,0,1,0,0,0
505,29,0,0,50,0,0
506,34,1,1,50,1,62.31410599
507,45,1,2,50,2,109.9081345
508,34,0,1,0,0,0
509,31,1,1,50,4,245.6527557
510,36,1,2,0,1,57.30766678
511,35,0,1,15,0,0
512,27,1,0,30,4,272.2061424
513,36,1,2,30,0,0
514,39,0,1,15,0,0
515,33,1,0,0,2,129.7901573
516,31,1,1,0,3,188.5174789
517,30,0,1,30,0,0
518,37,0,1,50,1,56.29034042
519,42,0,2,15,0,0
520,36,0,2,15,0,0
521,27,1,0,30,0,0
522,29,1,0,15,0,0
523,23,1,3,30,1,57.36653519
524,41,1,1,0,0,0
525,20,0,2,50,7,453.7362213
526,35,1,0,50,3,209.9429932
527,33,0,0,30,0,0
528,26,1,2,0,0,0
529,44,1,2,30,0,0
530,29,0,1,30,0,0
531,31,1,0,30,1,52.0848999
532,34,0,3,30,0,0
533,37,0,0,50,4,253.5874901
534,30,1,1,50,1,51.82559586
535,31,0,1,50,0,0
536,34,1,3,30,2,127.6550293
537,34,0,0,0,1,63.43783188
538,36,0,4,30,1,57.30766678
539,41,1,0,50,3,184.6177788
540,35,1,2,15,1,59.33590698
541,28,0,0,15,0,0
542,36,1,2,30,0,0
543,40,1,1,0,1,54.4659462
544,34,0,0,50,0,0
545,34,0,0,15,1,68.52663422
546,36,0,2,15,1,63.19973373
547,35,1,0,15,0,0
548,20,0,4,0,0,0
549,35,1,0,15,0,0
550,38,0,2,15,0,0
551,28,0,4,30,3,195.0621338
552,30,1,0,50,1,52.82372284
553,33,0,1,30,0,0
554,34,0,0,0,1,57.73023605
555,29,0,1,30,0,0
556,25,0,1,0,0,0
557,36,0,0,15,0,0
558,35,0,0,0,1,53.5790596
559,34,1,1,0,0,0
560,38,0,3,15,2,108.0674286
561,30,0,1,50,2,128.1803474
562,38,0,1,30,2,127.6550293
563,34,0,1,30,1,54.03371429
564,26,1,1,0,1,57.30766678
565,36,0,3,15,0,0
566,40,1,1,0,1,62.88819122
567,32,1,0,30,1,52.32733154
568,30,1,1,0,0,0
569,24,0,0,30,0,0
570,35,0,2,15,1,50.3076973
571,28,1,2,15,0,0
572,35,1,2,0,0,0
573,23,0,2,30,0,0
574,39,0,0,30,4,244.6225891
575,38,0,3,50,3,205.0351715
576,29,1,1,50,1,50.86933517
577,32,1,0,30,1,57.85914993
578,36,0,1,15,0,0
579,40,0,0,0,1,68.48602295
580,28,0,1,50,3,187.2006569
581,29,1,3,15,3,208.3875122
582,32,0,2,15,0,0
583,37,0,1,15,1,50.28046417
584,24,1,2,30,3,158.416214
585,27,0,2,0,1,53.60346985
586,27,1,0,0,3,165.678463
587,38,0,3,15,1,53.83736801
588,33,0,2,15,1,60.79280472
589,26,1,0,0,1,65.788414
590,40,1,1,15,2,120.0489197
591,26,0,2,15,1,65.788414
592,32,1,0,0,0,0
593,31,1,0,15,0,0
594,35,0,1,30,0,0
595,27,1,2,30,1,60.68818665
596,38,0,1,0,0,0
597,23,1,1,15,0,0
598,29,1,0,15,0,0
599,43,0,1,0,0,0
600,37,1,2,30,3,183.2575073
601,40,0,1,15,0,0
602,31,0,1,15,5,326.8817329
603,30,0,1,0,0,0
604,23,1,1,30,1,52.9346199
605,27,0,1,50,0,0
606,35,1,2,15,3,166.0935974
607,28,1,0,0,1,69.50073242
608,30,1,1,0,0,0
609,36,0,3,30,3,198.9039459
610,27,1,1,0,0,0
611,35,1,1,50,1,59.96234131
612,25,1,1,30,0,0
613,35,0,2,15,3,191.6144447
614,38,1,1,50,2,115.5092087
615,36,1,0,50,3,178.6838303
616,27,1,4,50,0,0
617,25,1,4,30,4,241.6945496
618,31,0,1,0,0,0
619,36,0,2,30,3,193.4087143
620,41,1,0,15,1,64.402771
621,30,0,1,50,0,0
622,23,0,0,50,3,196.1706238
623,32,0,1,15,0,0
624,31,1,1,30,2,127.2231216
625,30,1,0,0,2,140.0053101
626,36,0,1,30,0,0
627,32,1,3,50,0,0
628,34,1,0,15,1,51.82559586
629,32,1,0,30,1,50.42223358
630,36,1,1,0,0,0
631,27,0,1,30,4,237.7847824
632,28,1,2,0,0,0
633,37,1,0,50,0,0
634,27,1,2,15,0,0
635,40,0,2,15,2,112.5806808
636,27,0,1,15,0,0
637,41,0,3,0,1,52.6505394
638,28,1,0,0,1,63.61156082
639,34,0,1,0,0,0
640,36,1,2,30,2,130.0370331
641,37,0,0,30,0,0
642,31,1,1,30,0,0
643,28,1,2,30,0,0
644,29,1,3,15,1,57.30766678
645,30,0,0,0,0,0
646,32,0,0,50,1,68.72085571
647,33,1,0,30,2,117.0799446
648,34,0,1,50,0,0
649,33,0,2,30,1,58.89863586
650,32,1,2,50,0,0
651,32,1,2,50,2,120.5823593
652,29,1,4,50,1,66.48483276
653,39,0,0,0,0,0
654,32,1,2,0,0,0
655,27,1,0,15,1,61.29989624
656,32,0,1,0,0,0
657,25,0,3,50,0,0
658,30,0,0,50,3,154.1641846
659,28,1,2,30,1,55.75043106
660,30,1,2,30,2,121.0047073
661,34,1,1,15,0,0
662,28,0,1,0,0,0
663,30,1,0,50,2,111.0937347
664,35,1,2,30,3,179.0084076
665,28,1,2,50,6,364.4034157
666,36,0,1,30,2,130.3755798
667,28,0,1,15,0,0
668,39,1,1,50,0,0
669,27,0,1,50,1,67.91951752
670,25,0,3,30,0,0
671,31,1,1,0,1,60.79280472
672,34,1,1,15,1,69.74234772
673,34,1,0,15,0,0
674,30,1,1,50,1,69.81853485
675,32,0,1,30,0,0
676,34,0,1,0,0,0
677,33,0,2,50,1,69.0358429
678,38,0,1,15,2,115.6234741
679,31,0,0,50,1,66.60591125
680,37,0,3,15,1,54.74547195
681,31,0,2,30,0,0
682,42,0,1,50,1,67.11172485
683,31,1,1,15,0,0
684,32,1,0,50,3,152.0471916
685,39,1,1,0,1,69.50073242
686,38,0,1,30,0,0
687,38,1,1,0,1,52.32733154
688,27,0,1,30,0,0
689,33,1,1,0,0,0
690,36,1,1,50,2,122.9787521
691,32,0,3,50,3,176.7027626
692,34,0,0,15,0,0
693,25,0,1,30,1,52.0848999
694,22,0,2,0,0,0
695,30,0,0,15,0,0
696,34,1,1,50,4,276.5693283
697,28,0,1,15,2,131.6310577
698,39,0,2,30,1,59.96234131
699,29,0,0,15,0,0
700,32,0,1,50,1,67.83628082
701,34,1,2,0,1,50.60276031
702,31,0,1,15,2,117.6126328
703,35,1,3,15,0,0
704,36,0,0,50,2,112.1029854
705,28,0,0,0,0,0
706,28,1,1,0,0,0
707,26,0,2,30,0,0
708,34,0,0,15,1,60.39693451
709,35,0,0,50,0,0
710,40,1,1,50,0,0
711,40,1,1,30,3,179.4451637
712,26,1,2,15,0,0
713,37,1,1,30,0,0
714,39,1,1,50,5,327.0537376
715,38,1,0,30,1,62.68139648
716,38,0,1,30,0,0
717,33,1,1,30,1,56.50981522
718,25,1,1,0,0,0
719,32,0,0,30,1,69.04762268
720,39,0,0,0,0,0
721,32,1,2,15,0,0
722,31,1,0,15,1,54.60015869
723,33,1,1,0,0,0
724,31,0,2,0,0,0
725,31,0,1,30,0,0
726,33,0,0,50,0,0
727,32,0,2,0,0,0
728,27,0,2,15,2,119.5900955
729,32,0,0,15,2,128.8426704
730,32,0,1,50,0,0
731,22,0,0,30,0,0
732,29,0,1,15,0,0
733,42,1,1,50,2,123.7372208
734,31,0,1,50,3,177.1050758
735,36,1,1,30,2,119.3546753
736,30,1,0,30,2,106.6581726
737,40,1,1,0,0,0
738,34,1,0,15,1,58.01697159
739,30,0,1,30,0,0
740,37,1,2,15,0,0
741,34,1,0,15,0,0
742,33,1,1,50,1,69.06432343
743,30,0,0,30,1,66.90257263
744,29,0,1,30,0,0
745,30,0,0,30,2,114.206028
746,28,0,2,50,1,57.85914993
747,42,1,2,50,1,68.6866684
748,29,1,0,30,0,0
749,34,0,3,0,1,58.44794846
750,39,1,2,50,0,0
751,32,1,1,50,2,110.1990891
752,37,1,2,0,0,0
753,31,1,1,30,1,56.69115067
754,31,1,3,0,0,0
755,38,1,8,15,0,0
756,33,1,2,15,0,0
757,34,1,1,30,1,56.69115067
758,26,1,1,15,0,0
759,35,1,1,30,0,0
760,27,0,0,50,1,50.28046417
761,33,1,0,15,0,0
762,31,0,1,15,1,61.91902924
763,40,0,2,50,10,627.17939
764,35,1,0,15,2,114.9280167
765,42,1,1,15,0,0
766,39,1,1,50,0,0
767,39,1,3,15,0,0
768,38,1,2,30,7,434.6283455
769,33,0,0,0,0,0
770,28,1,0,0,0,0
771,41,1,0,0,0,0
772,33,1,1,30,2,115.8139992
773,35,1,2,30,0,0
774,45,0,1,30,0,0
775,29,1,4,50,1,66.11826324
776,33,1,3,15,0,0
777,34,0,2,50,0,0
778,41,0,0,15,0,0
779,30,0,0,0,0,0
780,31,1,3,0,1,55.49602509
781,23,0,1,30,0,0
782,35,0,1,50,2,115.3214073
783,30,1,1,15,1,65.31349182
784,29,0,1,15,1,69.06432343
785,31,1,2,0,0,0
786,35,1,2,50,3,196.4136047
787,38,1,3,15,0,0
788,38,1,1,0,0,0
789,38,1,2,15,1,58.89863586
790,36,1,1,50,3,191.5735016
791,37,0,1,15,1,52.08516312
792,33,1,0,30,0,0
793,39,1,2,30,2,105.6178131
794,28,0,2,0,0,0
795,29,1,2,15,0,0
796,42,1,3,15,0,0
797,39,0,1,0,0,0
798,36,1,1,15,1,56.69115067
799,34,0,2,15,1,64.49337006
800,35,1,3,30,3,193.0058289
801,33,0,2,50,3,161.8771858
802,35,0,1,15,0,0
803,43,1,1,0,0,0
804,27,1,2,50,0,0
805,40,0,2,15,0,0
806,36,1,1,50,0,0
807,34,1,1,15,0,0
808,31,1,0,50,0,0
809,29,1,0,50,3,195.9404755
810,32,1,0,30,2,105.6178131
811,22,0,2,15,1,70.00265503
812,32,1,1,15,1,61.57741165
813,32,1,0,50,0,0
814,39,1,2,50,4,226.5121613
815,36,1,3,0,0,0
816,36,0,1,15,1,58.89863586
817,28,1,0,15,0,0
818,35,1,3,0,1,54.50326157
819,36,1,4,0,2,104.6546631
820,33,1,0,0,0,0
821,35,0,1,50,1,67.34227753
822,41,0,1,0,1,60.26082993
823,26,1,0,0,0,0
824,36,1,3,0,0,0
825,32,0,3,30,0,0
826,36,0,1,0,0,0
827,31,0,1,30,0,0
828,31,1,4,30,1,68.19734955
829,33,0,0,50,0,0
830,40,1,2,30,2,123.8095322
831,33,1,1,0,0,0
832,32,1,0,30,2,115.8319969
833,32,0,2,30,0,0
834,26,1,0,50,4,244.2855949
835,27,0,2,30,0,0
836,32,1,3,0,1,62.11251068
837,30,0,0,0,1,54.06032181
838,33,0,1,50,0,0
839,37,1,0,30,0,0
840,33,1,0,50,2,127.2231216
841,33,0,2,15,1,65.81552887
842,34,0,0,30,0,0
843,40,0,2,15,1,52.82372284
844,34,0,3,0,0,0
845,28,0,1,30,1,66.48483276
846,31,0,0,50,2,138.1286469
847,40,0,1,30,0,0
848,39,1,1,30,1,61.08583832
849,35,1,1,0,0,0
850,33,0,2,0,1,67.11172485
851,34,0,0,50,2,119.6097641
852,32,1,2,30,0,0
853,26,0,0,15,0,0
854,35,1,0,30,1,67.37843323
855,37,0,0,15,0,0
856,30,0,0,0,0,0
857,38,0,1,15,0,0
858,30,0,2,30,0,0
859,32,1,2,0,0,0
860,20,1,1,15,0,0
861,30,1,1,30,0,0
862,40,0,0,15,0,0
863,34,1,1,30,1,58.44794846
864,35,1,1,0,2,114.6153336
865,30,1,1,15,0,0
866,33,1,1,50,0,0
867,35,1,2,0,1,54.50326157
868,22,1,1,0,1,64.51261139
869,31,0,1,15,1,50.3076973
870,32,0,1,0,0,0
871,27,0,2,50,1,69.56443787
